0020 -> 8359 :   -> 荙
437B -> 6C6C : 䍻 -> 汬
437C -> 568B : 䍼 -> 嚋
437D -> 9ECC : 䍽 -> 黌
437E -> 4A3F : 䍾 -> 䨿
437F -> 9581 : 䍿 -> 閁
4380 -> 7DC4 : 䎀 -> 緄
4381 -> 827E : 䎁 -> 艾
4382 -> 9901 : 䎂 -> 餁
4383 -> 587C : 䎃 -> 塼
4384 -> 5995 : 䎄 -> 妕
4385 -> 3650 : 䎅 -> 㙐
4386 -> 4387 : 䎆 -> 䎇
4387 -> 9A61 : 䎇 -> 驡
4388 -> 45CC : 䎈 -> 䗌
4389 -> 709B : 䎉 -> 炛
438A -> 7BDE : 䎊 -> 篞
438B -> 6C3F : 䎋 -> 氿
438C -> 4F50 : 䎌 -> 佐
438D -> 4892 : 䎍 -> 䢒
438E -> 84BD : 䎎 -> 蒽
438F -> 00BF : 䎏 -> ¿
4390 -> 7067 : 䎐 -> 灧
4391 -> 5AD2 : 䎑 -> 嫒
4392 -> 81A8 : 䎒 -> 膨
4393 -> 4E95 : 䎓 -> 井
4394 -> 7FC4 : 䎔 -> 翄
4395 -> 544A : 䎕 -> 告
4396 -> 99A2 : 䎖 -> 馢
4397 -> 6C06 : 䎗 -> 氆
4398 -> 4AF2 : 䎘 -> 䫲
4399 -> 7A00 : 䎙 -> 稀
439A -> 3740 : 䎚 -> 㝀
439B -> 9C7F : 䎛 -> 鱿
439C -> 9E34 : 䎜 -> 鸴
439D -> 8300 : 䎝 -> 茀
439E -> 3A56 : 䎞 -> 㩖
439F -> 5AF7 : 䎟 -> 嫷
43A0 -> 5847 : 䎠 -> 塇
43A1 -> 8437 : 䎡 -> 萷
43A2 -> 4157 : 䎢 -> 䅗
43A3 -> 6B17 : 䎣 -> 欗
43A4 -> 4822 : 䎤 -> 䠢
43A5 -> 94B6 : 䎥 -> 钶
43A6 -> 5D5F : 䎦 -> 嵟
43A7 -> 5E20 : 䎧 -> 帠
43A8 -> 4423 : 䎨 -> 䐣
43A9 -> 416A : 䎩 -> 䅪
43AA -> 69EC : 䎪 -> 槬
43AB -> 9217 : 䎫 -> 鈗
43AC -> 98AA : 䎬 -> 颪
43AD -> 6B0C : 䎭 -> 欌
43AE -> 533C : 䎮 -> 匼
43AF -> 9689 : 䎯 -> 隉
43B0 -> 8235 : 䎰 -> 舵
43B1 -> 5290 : 䎱 -> 劐
43B2 -> 40E6 : 䎲 -> 䃦
43B3 -> 00DD : 䎳 -> Ý
43B4 -> 84C6 : 䎴 -> 蓆
43B5 -> 5424 : 䎵 -> 吤
43B6 -> 8D1A : 䎶 -> 贚
43B7 -> 42D3 : 䎷 -> 䋓
43B8 -> 30EF : 䎸 -> ワ
43B9 -> 7723 : 䎹 -> 眣
43BA -> 6E11 : 䎺 -> 渑
43BB -> 7C0C : 䎻 -> 簌
43BC -> 4BF2 : 䎼 -> 䯲
43BD -> 6606 : 䎽 -> 昆
43BE -> 251C : 䎾 -> ├
43BF -> 7053 : 䎿 -> 灓
43C0 -> 8AC6 : 䏀 -> 諆
43C1 -> 734D : 䏁 -> 獍
43C2 -> 9B3A : 䏂 -> 鬺
43C3 -> 77BC : 䏃 -> 瞼
43C4 -> 4084 : 䏄 -> 䂄
43C5 -> 561B : 䏅 -> 嘛
43C6 -> 70AC : 䏆 -> 炬
43C7 -> 432D : 䏇 -> 䌭
43C8 -> 448A : 䏈 -> 䒊
43C9 -> 9865 : 䏉 -> 顥
43CA -> 43AD : 䏊 -> 䎭
43CB -> 6879 : 䏋 -> 桹
43CC -> 87F1 : 䏌 -> 蟱
43CD -> 6A32 : 䏍 -> 樲
43CE -> 7821 : 䏎 -> 砡
43CF -> 5A9E : 䏏 -> 媞
43D0 -> 5BD1 : 䏐 -> 寑
43D1 -> 6287 : 䏑 -> 抇
43D2 -> FFE0 : 䏒 -> ￠
43D3 -> 5F33 : 䏓 -> 弳
43D4 -> 6632 : 䏔 -> 昲
43D5 -> 7ED0 : 䏕 -> 绐
43D6 -> 7D0E : 䏖 -> 紎
43D7 -> 6083 : 䏗 -> 悃
43D8 -> 35C2 : 䏘 -> 㗂
43D9 -> 8817 : 䏙 -> 蠗
43DA -> 80A1 : 䏚 -> 股
43DB -> 3ADB : 䏛 -> 㫛
43DC -> 7F1C : 䏜 -> 缜
43DD -> 661E : 䏝 -> 昞
43DE -> 00CB : 䏞 -> Ë
43DF -> 59CA : 䏟 -> 姊
43E0 -> 75D0 : 䏠 -> 痐
43E1 -> 249A : 䏡 -> ⒚
43E2 -> 593B : 䏢 -> 夻
43E3 -> 3C8F : 䏣 -> 㲏
43E4 -> 90AC : 䏤 -> 邬
43E5 -> 5155 : 䏥 -> 兕
43E6 -> 986C : 䏦 -> 顬
43E7 -> 4033 : 䏧 -> 䀳
43E8 -> 68F4 : 䏨 -> 棴
43E9 -> 4E25 : 䏩 -> 严
43EA -> 484B : 䏪 -> 䡋
43EB -> 724E : 䏫 -> 牎
43EC -> 9944 : 䏬 -> 饄
43ED -> 9BDE : 䏭 -> 鯞
43EE -> 8798 : 䏮 -> 螘
43EF -> 2523 : 䏯 -> ┣
43F0 -> 4BE3 : 䏰 -> 䯣
43F1 -> 5BDA : 䏱 -> 寚
43F2 -> 66F8 : 䏲 -> 書
43F3 -> 921A : 䏳 -> 鈚
43F4 -> 5572 : 䏴 -> 啲
43F5 -> 8A13 : 䏵 -> 訓
43F6 -> 9981 : 䏶 -> 馁
43F7 -> 50F9 : 䏷 -> 價
43F8 -> 395F : 䏸 -> 㥟
43F9 -> 7451 : 䏹 -> 瑑
43FA -> 03A9 : 䏺 -> Ω
43FB -> 55FF : 䏻 -> 嗿
43FC -> 8371 : 䏼 -> 荱
43FD -> 8465 : 䏽 -> 葥
43FE -> 4585 : 䏾 -> 䖅
43FF -> 6CBA : 䏿 -> 沺
4400 -> 420B : 䐀 -> 䈋
4401 -> 5826 : 䐁 -> 堦
4402 -> 682C : 䐂 -> 栬
4403 -> 68A5 : 䐃 -> 梥
4404 -> 3E10 : 䐄 -> 㸐
4405 -> 7051 : 䐅 -> 灑
4406 -> 386D : 䐆 -> 㡭
4407 -> 54D0 : 䐇 -> 哐
4408 -> 986E : 䐈 -> 顮
4409 -> 4630 : 䐉 -> 䘰
440A -> 439A : 䐊 -> 䎚
440B -> 9629 : 䐋 -> 阩
440C -> 60E1 : 䐌 -> 惡
440D -> 7BF3 : 䐍 -> 篳
440E -> 42A4 : 䐎 -> 䊤
440F -> 308C : 䐏 -> れ
4410 -> 508E : 䐐 -> 傎
4411 -> 5153 : 䐑 -> 兓
4412 -> 84DE : 䐒 -> 蓞
4413 -> 5D7C : 䐓 -> 嵼
4414 -> 8AF2 : 䐔 -> 諲
4415 -> 860B : 䐕 -> 蘋
4416 -> 4561 : 䐖 -> 䕡
4417 -> 5474 : 䐗 -> 呴
4418 -> 472D : 䐘 -> 䜭
4419 -> 6949 : 䐙 -> 楉
441A -> 30BD : 䐚 -> ソ
441B -> FE4A : 䐛 -> ﹊
441C -> 62AD : 䐜 -> 抭
441D -> 8299 : 䐝 -> 芙
441E -> 3917 : 䐞 -> 㤗
441F -> 8FEA : 䐟 -> 迪
4420 -> 30D8 : 䐠 -> ヘ
4421 -> 5321 : 䐡 -> 匡
4422 -> 69A8 : 䐢 -> 榨
4423 -> 60AE : 䐣 -> 悮
4424 -> 86A4 : 䐤 -> 蚤
4425 -> 79B3 : 䐥 -> 禳
4426 -> 4FA0 : 䐦 -> 侠
4427 -> 8F94 : 䐧 -> 辔
4428 -> 5439 : 䐨 -> 吹
4429 -> 4D1C : 䐩 -> 䴜
442A -> 4D97 : 䐪 -> 䶗
442B -> 436B : 䐫 -> 䍫
442C -> 9ED8 : 䐬 -> 默
442D -> 4A2C : 䐭 -> 䨬
442E -> 8E5D : 䐮 -> 蹝
442F -> 871B : 䐯 -> 蜛
4430 -> 6E9B : 䐰 -> 溛
4431 -> 53D0 : 䐱 -> 叐
4432 -> 8874 : 䐲 -> 衴
4433 -> 8CC8 : 䐳 -> 賈
4434 -> 583C : 䐴 -> 堼
4435 -> 2512 : 䐵 -> ┒
4436 -> 7E5B : 䐶 -> 繛
4437 -> 6968 : 䐷 -> 楨
4438 -> 8AAC : 䐸 -> 説
4439 -> 8543 : 䐹 -> 蕃
443A -> 7515 : 䐺 -> 甕
443B -> 822A : 䐻 -> 航
443C -> 7084 : 䐼 -> 炄
443D -> 9BDC : 䐽 -> 鯜
443E -> 7A05 : 䐾 -> 稅
443F -> 413E : 䐿 -> 䄾
4440 -> 7C9D : 䑀 -> 粝
4441 -> 9A45 : 䑁 -> 驅
4442 -> 3229 : 䑂 -> ㈩
4443 -> 703A : 䑃 -> 瀺
4444 -> 985A : 䑄 -> 顚
4445 -> 89FA : 䑅 -> 觺
4446 -> 5003 : 䑆 -> 倃
4447 -> 8EC0 : 䑇 -> 軀
4448 -> 75D8 : 䑈 -> 痘
4449 -> 4661 : 䑉 -> 䙡
444A -> 5882 : 䑊 -> 墂
444B -> 8CBC : 䑋 -> 貼
444C -> 9E6B : 䑌 -> 鹫
444D -> 3FD1 : 䑍 -> 㿑
444E -> 9B6E : 䑎 -> 魮
444F -> 00BE : 䑏 -> ¾
4450 -> 6BD8 : 䑐 -> 毘
4451 -> 49EC : 䑑 -> 䧬
4452 -> 9167 : 䑒 -> 酧
4453 -> 8A1A : 䑓 -> 訚
4454 -> 664F : 䑔 -> 晏
4455 -> 7DB1 : 䑕 -> 綱
4456 -> 7ABB : 䑖 -> 窻
4457 -> 45CA : 䑗 -> 䗊
4458 -> 6558 : 䑘 -> 敘
4459 -> 94C5 : 䑙 -> 铅
445A -> 4B1E : 䑚 -> 䬞
445B -> 67C2 : 䑛 -> 柂
445C -> 98E3 : 䑜 -> 飣
445D -> 4933 : 䑝 -> 䤳
445E -> 94B1 : 䑞 -> 钱
445F -> 6B31 : 䑟 -> 欱
4460 -> 650E : 䑠 -> 攎
4461 -> 4F1C : 䑡 -> 伜
4462 -> 5337 : 䑢 -> 匷
4463 -> 76EA : 䑣 -> 盪
4464 -> 561D : 䑤 -> 嘝
4465 -> 5465 : 䑥 -> 呥
4466 -> 87BA : 䑦 -> 螺
4467 -> 72A2 : 䑧 -> 犢
4468 -> 9C43 : 䑨 -> 鱃
4469 -> 5209 : 䑩 -> 刉
446A -> 87FB : 䑪 -> 蟻
446B -> 7535 : 䑫 -> 电
446C -> 4AD2 : 䑬 -> 䫒
446D -> 5D32 : 䑭 -> 崲
446E -> 82FF : 䑮 -> 苿
446F -> 9E45 : 䑯 -> 鹅
4470 -> 674D : 䑰 -> 杍
4471 -> 4C58 : 䑱 -> 䱘
4472 -> 3C04 : 䑲 -> 㰄
4473 -> 71CB : 䑳 -> 燋
4474 -> 9D75 : 䑴 -> 鵵
4475 -> 5644 : 䑵 -> 噄
4476 -> 9D89 : 䑶 -> 鶉
4477 -> 2606 : 䑷 -> ☆
4478 -> 474D : 䑸 -> 䝍
4479 -> 4BD7 : 䑹 -> 䯗
447A -> 53A4 : 䑺 -> 厤
447B -> 353A : 䑻 -> 㔺
447C -> 5D03 : 䑼 -> 崃
447D -> 62EE : 䑽 -> 拮
447E -> 7255 : 䑾 -> 牕
447F -> 93E0 : 䑿 -> 鏠
4480 -> 3ED8 : 䒀 -> 㻘
4481 -> 7E95 : 䒁 -> 纕
4482 -> 6AB4 : 䒂 -> 檴
4483 -> 9E44 : 䒃 -> 鹄
4484 -> 6BC9 : 䒄 -> 毉
4485 -> 3D09 : 䒅 -> 㴉
4486 -> 83DE : 䒆 -> 菞
4487 -> 4F05 : 䒇 -> 伅
4488 -> 867D : 䒈 -> 虽
4489 -> 56EB : 䒉 -> 囫
448A -> 45B0 : 䒊 -> 䖰
448B -> 912F : 䒋 -> 鄯
448C -> 46BE : 䒌 -> 䚾
448D -> 8369 : 䒍 -> 荩
448E -> 4118 : 䒎 -> 䄘
448F -> 4077 : 䒏 -> 䁷
4490 -> 881A : 䒐 -> 蠚
4491 -> 3023 : 䒑 -> 〣
4492 -> 6B33 : 䒒 -> 欳
4493 -> 386F : 䒓 -> 㡯
4494 -> 84A8 : 䒔 -> 蒨
4495 -> 812E : 䒕 -> 脮
4496 -> 452E : 䒖 -> 䔮
4497 -> E863 : 䒗 -> 
4498 -> 8C27 : 䒘 -> 谧
4499 -> 9373 : 䒙 -> 鍳
449A -> 9ACD : 䒚 -> 髍
449B -> 8FF8 : 䒛 -> 迸
449C -> 7A98 : 䒜 -> 窘
449D -> 9018 : 䒝 -> 逘
449E -> 72A1 : 䒞 -> 犡
449F -> 5E93 : 䒟 -> 库
44A0 -> 6CA6 : 䒠 -> 沦
44A1 -> 3D11 : 䒡 -> 㴑
44A2 -> 8637 : 䒢 -> 蘷
44A3 -> 6B8E : 䒣 -> 殎
44A4 -> 4D5E : 䒤 -> 䵞
44A5 -> 995F : 䒥 -> 饟
44A6 -> 6E4A : 䒦 -> 湊
44A7 -> 85D5 : 䒧 -> 藕
44A8 -> 7A4D : 䒨 -> 積
44A9 -> 40B3 : 䒩 -> 䂳
44AA -> 43D0 : 䒪 -> 䏐
44AB -> 307D : 䒫 -> ぽ
44AC -> 6A99 : 䒬 -> 檙
44AD -> 7C85 : 䒭 -> 粅
44AE -> 806B : 䒮 -> 聫
44AF -> 7258 : 䒯 -> 牘
44B0 -> 6D44 : 䒰 -> 浄
44B1 -> 6B91 : 䒱 -> 殑
44B2 -> 3F45 : 䒲 -> 㽅
44B3 -> 5D6F : 䒳 -> 嵯
44B4 -> 581D : 䒴 -> 堝
44B5 -> 732B : 䒵 -> 猫
44B6 -> 700B : 䒶 -> 瀋
44B7 -> 8D52 : 䒷 -> 赒
44B8 -> 9D8A : 䒸 -> 鶊
44B9 -> 66D3 : 䒹 -> 曓
44BA -> 36F4 : 䒺 -> 㛴
44BB -> 73C6 : 䒻 -> 珆
44BC -> 86EE : 䒼 -> 蛮
44BD -> 5FFF : 䒽 -> 忿
44BE -> 8C8A : 䒾 -> 貊
44BF -> 3416 : 䒿 -> 㐖
44C0 -> 5D5A : 䓀 -> 嵚
44C1 -> 8C81 : 䓁 -> 貁
44C2 -> 90B3 : 䓂 -> 邳
44C3 -> 4263 : 䓃 -> 䉣
44C4 -> 51C5 : 䓄 -> 凅
44C5 -> 7DD8 : 䓅 -> 緘
44C6 -> 7388 : 䓆 -> 玈
44C7 -> 2540 : 䓇 -> ╀
44C8 -> 3A86 : 䓈 -> 㪆
44C9 -> 83A3 : 䓉 -> 莣
44CA -> E844 : 䓊 -> 
44CB -> 75B2 : 䓋 -> 疲
44CC -> 8647 : 䓌 -> 虇
44CD -> 8547 : 䓍 -> 蕇
44CE -> 87C4 : 䓎 -> 蟄
44CF -> 60E3 : 䓏 -> 惣
44D0 -> 858B : 䓐 -> 薋
44D1 -> 5017 : 䓑 -> 倗
44D2 -> 8A60 : 䓒 -> 詠
44D3 -> 82F0 : 䓓 -> 苰
44D4 -> 75DB : 䓔 -> 痛
44D5 -> 50F1 : 䓕 -> 僱
44D6 -> 7F6F : 䓖 -> 罯
44D7 -> 628D : 䓗 -> 抍
44D8 -> 8787 : 䓘 -> 螇
44D9 -> 6EAD : 䓙 -> 溭
44DA -> 7623 : 䓚 -> 瘣
44DB -> 74F2 : 䓛 -> 瓲
44DC -> 75BE : 䓜 -> 疾
44DD -> 40F8 : 䓝 -> 䃸
44DE -> 417C : 䓞 -> 䅼
44DF -> 6835 : 䓟 -> 栵
44E0 -> 412D : 䓠 -> 䄭
44E1 -> 96E2 : 䓡 -> 離
44E2 -> 36D3 : 䓢 -> 㛓
44E3 -> 5A09 : 䓣 -> 娉
44E4 -> 9BC2 : 䓤 -> 鯂
44E5 -> 221F : 䓥 -> ∟
44E6 -> 785A : 䓦 -> 硚
44E7 -> 91C5 : 䓧 -> 釅
44E8 -> 4994 : 䓨 -> 䦔
44E9 -> 802C : 䓩 -> 耬
44EA -> 5971 : 䓪 -> 奱
44EB -> 43C8 : 䓫 -> 䏈
44EC -> 63F4 : 䓬 -> 援
44ED -> 4133 : 䓭 -> 䄳
44EE -> 3F40 : 䓮 -> 㽀
44EF -> 3BCA : 䓯 -> 㯊
44F0 -> 5A3F : 䓰 -> 娿
44F1 -> 58EA : 䓱 -> 壪
44F2 -> 5C76 : 䓲 -> 屶
44F3 -> 7269 : 䓳 -> 物
44F4 -> 226F : 䓴 -> ≯
44F5 -> 5A57 : 䓵 -> 婗
44F6 -> 4109 : 䓶 -> 䄉
44F7 -> 5EEF : 䓷 -> 廯
44F8 -> FF0B : 䓸 -> ＋
44F9 -> 01DA : 䓹 -> ǚ
44FA -> 64E9 : 䓺 -> 擩
44FB -> 7617 : 䓻 -> 瘗
44FC -> 9DAB : 䓼 -> 鶫
44FD -> 8988 : 䓽 -> 覈
44FE -> 4A62 : 䓾 -> 䩢
44FF -> 71A9 : 䓿 -> 熩
4500 -> 7F08 : 䔀 -> 缈
4501 -> 7C52 : 䔁 -> 籒
4502 -> 6A58 : 䔂 -> 橘
4503 -> 3C5B : 䔃 -> 㱛
4504 -> 6929 : 䔄 -> 椩
4505 -> 6392 : 䔅 -> 排
4506 -> 86C3 : 䔆 -> 蛃
4507 -> 4C0D : 䔇 -> 䰍
4508 -> 5031 : 䔈 -> 倱
4509 -> 755F : 䔉 -> 畟
450A -> 79A2 : 䔊 -> 禢
450B -> 37D4 : 䔋 -> 㟔
450C -> 4D80 : 䔌 -> 䶀
450D -> 63BD : 䔍 -> 掽
450E -> 75FC : 䔎 -> 痼
450F -> 9CB4 : 䔏 -> 鲴
4510 -> 44D6 : 䔐 -> 䓖
4511 -> 46B8 : 䔑 -> 䚸
4512 -> 7218 : 䔒 -> 爘
4513 -> 392D : 䔓 -> 㤭
4514 -> 88F5 : 䔔 -> 裵
4515 -> 6305 : 䔕 -> 挅
4516 -> 43D8 : 䔖 -> 䏘
4517 -> 4324 : 䔗 -> 䌤
4518 -> 9646 : 䔘 -> 陆
4519 -> 8D0B : 䔙 -> 贋
451A -> 6AF4 : 䔚 -> 櫴
451B -> 8AE6 : 䔛 -> 諦
451C -> 4B42 : 䔜 -> 䭂
451D -> 86DD : 䔝 -> 蛝
451E -> 9659 : 䔞 -> 陙
451F -> 6177 : 䔟 -> 慷
4520 -> 95E7 : 䔠 -> 闧
4521 -> 4BE6 : 䔡 -> 䯦
4522 -> 9415 : 䔢 -> 鐕
4523 -> 9AEC : 䔣 -> 髬
4524 -> 4C18 : 䔤 -> 䰘
4525 -> 7913 : 䔥 -> 礓
4526 -> 4327 : 䔦 -> 䌧
4527 -> 592D : 䔧 -> 夭
4528 -> 968C : 䔨 -> 隌
4529 -> 5EF7 : 䔩 -> 廷
452A -> 5776 : 䔪 -> 坶
452B -> 64DB : 䔫 -> 擛
452C -> 49DC : 䔬 -> 䧜
452D -> 54B8 : 䔭 -> 咸
452E -> 4D2B : 䔮 -> 䴫
452F -> 9270 : 䔯 -> 鉰
4530 -> 94A4 : 䔰 -> 钤
4531 -> 68F7 : 䔱 -> 棷
4532 -> 724B : 䔲 -> 牋
4533 -> 6780 : 䔳 -> 枀
4534 -> 444A : 䔴 -> 䑊
4535 -> 7CB3 : 䔵 -> 粳
4536 -> 34E4 : 䔶 -> 㓤
4537 -> 49BA : 䔷 -> 䦺
4538 -> 500B : 䔸 -> 個
4539 -> 75E4 : 䔹 -> 痤
453A -> 376F : 䔺 -> 㝯
453B -> 649E : 䔻 -> 撞
453C -> 4611 : 䔼 -> 䘑
453D -> 37CC : 䔽 -> 㟌
453E -> 9956 : 䔾 -> 饖
453F -> 53E4 : 䔿 -> 古
4540 -> 3B14 : 䕀 -> 㬔
4541 -> 620E : 䕁 -> 戎
4542 -> 3E5A : 䕂 -> 㹚
4543 -> 3AD5 : 䕃 -> 㫕
4544 -> 8035 : 䕄 -> 耵
4545 -> 37DF : 䕅 -> 㟟
4546 -> 988E : 䕆 -> 颎
4547 -> 5B80 : 䕇 -> 宀
4548 -> 30EA : 䕈 -> リ
4549 -> 4E24 : 䕉 -> 两
454A -> 906C : 䕊 -> 遬
454B -> 929F : 䕋 -> 銟
454C -> 6120 : 䕌 -> 愠
454D -> 5E4B : 䕍 -> 幋
454E -> 7F78 : 䕎 -> 罸
454F -> 795B : 䕏 -> 祛
4550 -> 9234 : 䕐 -> 鈴
4551 -> 8B39 : 䕑 -> 謹
4552 -> 602E : 䕒 -> 怮
4553 -> 7318 : 䕓 -> 猘
4554 -> 45D0 : 䕔 -> 䗐
4555 -> 3522 : 䕕 -> 㔢
4556 -> 8055 : 䕖 -> 聕
4557 -> 42ED : 䕗 -> 䋭
4558 -> 7F95 : 䕘 -> 羕
4559 -> 517F : 䕙 -> 兿
455A -> 7B3B : 䕚 -> 笻
455B -> 7A3D : 䕛 -> 稽
455C -> 9900 : 䕜 -> 餀
455D -> 9741 : 䕝 -> 靁
455E -> 4670 : 䕞 -> 䙰
455F -> 68CB : 䕟 -> 棋
4560 -> 38F5 : 䕠 -> 㣵
4561 -> 8F27 : 䕡 -> 輧
4562 -> 2460 : 䕢 -> ①
4563 -> 7CCC : 䕣 -> 糌
4564 -> 6688 : 䕤 -> 暈
4565 -> 699D : 䕥 -> 榝
4566 -> 76DB : 䕦 -> 盛
4567 -> 8F7E : 䕧 -> 轾
4568 -> 70AE : 䕨 -> 炮
4569 -> 9394 : 䕩 -> 鎔
456A -> 85BD : 䕪 -> 薽
456B -> 589A : 䕫 -> 墚
456C -> 3B7A : 䕬 -> 㭺
456D -> 41CD : 䕭 -> 䇍
456E -> 52F7 : 䕮 -> 勷
456F -> 6C0C : 䕯 -> 氌
4570 -> 9CEE : 䕰 -> 鳮
4571 -> 59C3 : 䕱 -> 姃
4572 -> 938F : 䕲 -> 鎏
4573 -> 9D5C : 䕳 -> 鵜
4574 -> 8819 : 䕴 -> 蠙
4575 -> 3868 : 䕵 -> 㡨
4576 -> 71FC : 䕶 -> 燼
4577 -> 5B4F : 䕷 -> 孏
4578 -> 7810 : 䕸 -> 砐
4579 -> 4DBF : 䕹 -> 䶿
457A -> 4D44 : 䕺 -> 䵄
457B -> 345A : 䕻 -> 㑚
457C -> 3E24 : 䕼 -> 㸤
457D -> 7072 : 䕽 -> 灲
457E -> FE5C : 䕾 -> ﹜
457F -> 6584 : 䕿 -> 斄
4580 -> 528B : 䖀 -> 劋
4581 -> 7CEE : 䖁 -> 糮
4582 -> 79D4 : 䖂 -> 秔
4583 -> 626A : 䖃 -> 扪
4584 -> 7331 : 䖄 -> 猱
4585 -> 4305 : 䖅 -> 䌅
4586 -> 832F : 䖆 -> 茯
4587 -> 974E : 䖇 -> 靎
4588 -> 9CE5 : 䖈 -> 鳥
4589 -> 4ACE : 䖉 -> 䫎
458A -> 64F6 : 䖊 -> 擶
458B -> 939D : 䖋 -> 鎝
458C -> 6961 : 䖌 -> 楡
458D -> 6CA5 : 䖍 -> 沥
458E -> 89EF : 䖎 -> 觯
458F -> 8F31 : 䖏 -> 輱
4590 -> 5E9F : 䖐 -> 废
4591 -> 8D6C : 䖑 -> 赬
4592 -> 8159 : 䖒 -> 腙
4593 -> 6FB3 : 䖓 -> 澳
4594 -> 97A3 : 䖔 -> 鞣
4595 -> 5CD4 : 䖕 -> 峔
4596 -> 4CB2 : 䖖 -> 䲲
4597 -> 7B0C : 䖗 -> 笌
4598 -> 7860 : 䖘 -> 硠
4599 -> 4A1F : 䖙 -> 䨟
459A -> 3795 : 䖚 -> 㞕
459B -> 57A4 : 䖛 -> 垤
459C -> 4EDE : 䖜 -> 仞
459D -> 8C97 : 䖝 -> 貗
459E -> 7114 : 䖞 -> 焔
459F -> 74E1 : 䖟 -> 瓡
45A0 -> 9965 : 䖠 -> 饥
45A1 -> 5A25 : 䖡 -> 娥
45A2 -> 4588 : 䖢 -> 䖈
45A3 -> 3607 : 䖣 -> 㘇
45A4 -> 8E4F : 䖤 -> 蹏
45A5 -> 371B : 䖥 -> 㜛
45A6 -> 5E2E : 䖦 -> 帮
45A7 -> 5A36 : 䖧 -> 娶
45A8 -> 79EB : 䖨 -> 秫
45A9 -> 5AB0 : 䖩 -> 媰
45AA -> 9F02 : 䖪 -> 鼂
45AB -> 4B91 : 䖫 -> 䮑
45AC -> 7BE1 : 䖬 -> 篡
45AD -> 449C : 䖭 -> 䒜
45AE -> 787D : 䖮 -> 硽
45AF -> 665F : 䖯 -> 晟
45B0 -> 58F4 : 䖰 -> 壴
45B1 -> 4018 : 䖱 -> 䀘
45B2 -> 52AD : 䖲 -> 劭
45B3 -> 9B82 : 䖳 -> 鮂
45B4 -> 8B34 : 䖴 -> 謴
45B5 -> 9AD8 : 䖵 -> 高
45B6 -> 60CC : 䖶 -> 惌
45B7 -> 8191 : 䖷 -> 膑
45B8 -> 62C0 : 䖸 -> 拀
45B9 -> 9431 : 䖹 -> 鐱
45BA -> 812B : 䖺 -> 脫
45BB -> 5138 : 䖻 -> 儸
45BC -> 3FDB : 䖼 -> 㿛
45BD -> 5145 : 䖽 -> 充
45BE -> 2461 : 䖾 -> ②
45BF -> 63E5 : 䖿 -> 揥
45C0 -> 83D9 : 䗀 -> 菙
45C1 -> 89D9 : 䗁 -> 觙
45C2 -> 258F : 䗂 -> ▏
45C3 -> 9D1D : 䗃 -> 鴝
45C4 -> 8993 : 䗄 -> 覓
45C5 -> 6C96 : 䗅 -> 沖
45C6 -> 99BC : 䗆 -> 馼
45C7 -> 75DC : 䗇 -> 痜
45C8 -> 7544 : 䗈 -> 畄
45C9 -> 8519 : 䗉 -> 蔙
45CA -> 94AF : 䗊 -> 钯
45CB -> 46ED : 䗋 -> 䛭
45CC -> 9BAA : 䗌 -> 鮪
45CD -> 43CB : 䗍 -> 䏋
45CE -> 669B : 䗎 -> 暛
45CF -> 350F : 䗏 -> 㔏
45D0 -> 8AA1 : 䗐 -> 誡
45D1 -> 4CE9 : 䗑 -> 䳩
45D2 -> 8565 : 䗒 -> 蕥
45D3 -> 7C2D : 䗓 -> 簭
45D4 -> 3C35 : 䗔 -> 㰵
45D5 -> 64C3 : 䗕 -> 擃
45D6 -> 6CE4 : 䗖 -> 泤
45D7 -> 816C : 䗗 -> 腬
45D8 -> 0421 : 䗘 -> С
45D9 -> 9B84 : 䗙 -> 鮄
45DA -> 79E6 : 䗚 -> 秦
45DB -> 8E86 : 䗛 -> 躆
45DC -> 9FC0 : 䗜 -> 鿀
45DD -> 93AD : 䗝 -> 鎭
45DE -> 8A6E : 䗞 -> 詮
45DF -> 6B68 : 䗟 -> 歨
45E0 -> 8CFE : 䗠 -> 賾
45E1 -> 4A42 : 䗡 -> 䩂
45E2 -> 7446 : 䗢 -> 瑆
45E3 -> 71F8 : 䗣 -> 燸
45E4 -> 3816 : 䗤 -> 㠖
45E5 -> 4B28 : 䗥 -> 䬨
45E6 -> 4830 : 䗦 -> 䠰
45E7 -> 604B : 䗧 -> 恋
45E8 -> 5473 : 䗨 -> 味
45E9 -> 4925 : 䗩 -> 䤥
45EA -> 85B1 : 䗪 -> 薱
45EB -> 6FDA : 䗫 -> 濚
45EC -> 5DBD : 䗬 -> 嶽
45ED -> 478B : 䗭 -> 䞋
45EE -> 9D0A : 䗮 -> 鴊
45EF -> 9BAF : 䗯 -> 鮯
45F0 -> 3FB5 : 䗰 -> 㾵
45F1 -> 2508 : 䗱 -> ┈
45F2 -> 46D6 : 䗲 -> 䛖
45F3 -> 5AD3 : 䗳 -> 嫓
45F4 -> 91BC : 䗴 -> 醼
45F5 -> 6C4C : 䗵 -> 汌
45F6 -> 4C73 : 䗶 -> 䱳
45F7 -> 4FB9 : 䗷 -> 侹
45F8 -> 67E2 : 䗸 -> 柢
45F9 -> 5D19 : 䗹 -> 崙
45FA -> 9CBD : 䗺 -> 鲽
45FB -> 9DC0 : 䗻 -> 鷀
